id,subject,fold,model,th,f1
SR007-TL2-2216-2280,SR007,1,2D,0.5,0.6629161196455886
SR007-TL2-2216-2280,SR007,1,2D,0.55,0.6280430831747725
SR007-TL2-2216-2280,SR007,1,2D,0.6,0.5977210046316384
SR007-TL2-2216-2280,SR007,1,2D,0.65,0.5390353068963599
SR007-TL2-2216-2280,SR007,1,2D,0.7,0.39970689833448214
SR007-TL2-2216-2280,SR007,1,2D,0.75,0.3238017645464312
SR007-TL2-2216-2280,SR007,1,2D,0.8,0.20242311328763615
SR007-TL2-2216-2280,SR007,1,2D,0.85,0.09690375153267833
SR007-TL2-2216-2280,SR007,1,2D,0.9,0.007352941176254326
SR007-TL2-2216-2280,SR007,1,2D,0.95,0
SR007-TR1-2760-2824,SR007,1,3D,0.5,0.8100825804265098
SR007-TR1-2760-2824,SR007,1,3D,0.55,0.7987189440633901
SR007-TR1-2760-2824,SR007,1,3D,0.6,0.7873553077002702
SR007-TR1-2760-2824,SR007,1,3D,0.65,0.7195793336773632
SR007-TR1-2760-2824,SR007,1,3D,0.7,0.6765127987648594
SR007-TR1-2760-2824,SR007,1,3D,0.75,0.5855566534650266
SR007-TR1-2760-2824,SR007,1,3D,0.8,0.5519598155218682
SR007-TR1-2760-2824,SR007,1,3D,0.85,0.4955474778620811
SR007-TR1-2760-2824,SR007,1,3D,0.9,0.26894527572668625
SR007-TR1-2760-2824,SR007,1,3D,0.95,0.021780303029352473
SR007-TR1-2760-2824,SR007,1,2D,0.5,0.7600839920622553
SR007-TR1-2760-2824,SR007,1,2D,0.55,0.7492144268453366
SR007-TR1-2760-2824,SR007,1,2D,0.6,0.7279281949621852
SR007-TR1-2760-2824,SR007,1,2D,0.65,0.7175115282959525
SR007-TR1-2760-2824,SR007,1,2D,0.7,0.7066419630790339
SR007-TR1-2760-2824,SR007,1,2D,0.75,0.6422117918038102
SR007-TR1-2760-2824,SR007,1,2D,0.8,0.536156126459171
SR007-TR1-2760-2824,SR007,1,2D,0.85,0.40733201579277717
SR007-TR1-2760-2824,SR007,1,2D,0.9,0.16146903820120345
SR007-TR1-2760-2824,SR007,1,2D,0.95,0.021286231883151353
SR007-TR1-5340-5404,SR007,1,3D,0.5,0.693409181370755
SR007-TR1-5340-5404,SR007,1,3D,0.55,0.6837937967557401
SR007-TR1-5340-5404,SR007,1,3D,0.6,0.6320908982071562
SR007-TR1-5340-5404,SR007,1,3D,0.65,0.5304895285664527
