id,subject,fold,model,cls,bfscore
SR010-CL1-4068-4132,SR010,4,GT,epi,0.7537759574603174
SR010-CL1-6954-7018,SR010,4,3D,fas,0.8791647152380953
SR010-CL1-6954-7018,SR010,4,3D,epi,0.8739678906349206
SR010-CL1-6954-7018,SR010,4,2D,fas,0.5482387084126984
SR010-CL1-6954-7018,SR010,4,2D,epi,0.6844782606349207
SR010-CL1-6954-7018,SR010,4,GT,fas,0.8725559419047619
SR010-CL1-6954-7018,SR010,4,GT,epi,0.8675155236507937
SR010-CL2-1125-1189,SR010,4,3D,fas,0.8874980952380952
SR010-CL2-1125-1189,SR010,4,3D,epi,0.8926689401587301
SR010-CL2-1125-1189,SR010,4,2D,fas,0.5661810322222223
SR010-CL2-1125-1189,SR010,4,2D,epi,0.7205698952380952
SR010-CL2-1125-1189,SR010,4,GT,fas,0.8753616006031746
SR010-CL2-1125-1189,SR010,4,GT,epi,0.8736362352380952
SR010-CL2-3303-3367,SR010,4,3D,fas,0.9102684098412699
SR010-CL2-3303-3367,SR010,4,3D,epi,0.8777702126984127
SR010-CL2-3303-3367,SR010,4,2D,fas,0.6168679222222222
SR010-CL2-3303-3367,SR010,4,2D,epi,0.72564579
SR010-CL2-3303-3367,SR010,4,GT,fas,0.8885228314285715
SR010-CL2-3303-3367,SR010,4,GT,epi,0.8557945119047619
SR010-CL2-997-1061,SR010,4,3D,fas,0.8762613655555556
SR010-CL2-997-1061,SR010,4,3D,epi,0.8638136598412698
SR010-CL2-997-1061,SR010,4,2D,fas,0.5691862050793651
SR010-CL2-997-1061,SR010,4,2D,epi,0.7019907777777777
SR010-CL2-997-1061,SR010,4,GT,fas,0.8810934853968254
SR010-CL2-997-1061,SR010,4,GT,epi,0.8655547657142857
SR010-CR1-5758-5822,SR010,4,3D,fas,0.8304147933333333
SR010-CR1-5758-5822,SR010,4,3D,epi,0.8258407647619047
SR010-CR1-5758-5822,SR010,4,2D,fas,0.4575935398412698
SR010-CR1-5758-5822,SR010,4,2D,epi,0.6144986038095238
SR010-CR1-5758-5822,SR010,4,GT,fas,0.858169292063492
SR010-CR1-5758-5822,SR010,4,GT,epi,0.8335476517460317
SR010-CR1-7692-7756,SR010,4,3D,fas,0.8820547584126984
SR010-CR1-7692-7756,SR010,4,3D,epi,0.8400151276190476
SR010-CR1-7692-7756,SR010,4,2D,fas,0.6184967920634921
SR010-CR1-7692-7756,SR010,4,2D,epi,0.6679733519047619
SR010-CR1-7692-7756,SR010,4,GT,fas,0.8408191791269841
