id,subject,fold,model,area_category,missed_rate
SR009-CR1-3890-3954,SR009,3,3D,Large,23.333333333333332
SR009-CR1-3890-3954,SR009,3,2D,Medium,20.833333333333336
SR009-CR1-3890-3954,SR009,3,2D,Large,47.91666666666667
SR009-CR1-7400-7464,SR009,3,3D,Tiny,4.216867469879518
SR009-CR1-7400-7464,SR009,3,3D,Small,13.574660633484163
SR009-CR1-7400-7464,SR009,3,3D,Medium,4.790419161676647
SR009-CR1-7400-7464,SR009,3,2D,Tiny,4.216867469879518
SR009-CR1-7400-7464,SR009,3,2D,Small,15.384615384615385
SR009-CR1-7400-7464,SR009,3,2D,Medium,8.854166666666668
SR009-CR1-7400-7464,SR009,3,2D,Large,3.6458333333333335
SR009-CR2-1990-2054,SR009,3,3D,Tiny,5.555555555555555
SR009-CR2-1990-2054,SR009,3,3D,Small,24.637681159420293
SR009-CR2-1990-2054,SR009,3,3D,Medium,13.768115942028986
SR009-CR2-1990-2054,SR009,3,3D,Large,5.633802816901409
SR009-CR2-1990-2054,SR009,3,2D,Tiny,5.555555555555555
SR009-CR2-1990-2054,SR009,3,2D,Small,27.536231884057973
SR009-CR2-1990-2054,SR009,3,2D,Medium,20.28985507246377
SR009-CR2-1990-2054,SR009,3,2D,Large,7.142857142857142
SR009-CR3-1300-1364,SR009,3,3D,Tiny,8.98876404494382
SR009-CR3-1300-1364,SR009,3,3D,Small,13.043478260869565
SR009-CR3-1300-1364,SR009,3,3D,Medium,17.97752808988764
SR009-CR3-1300-1364,SR009,3,3D,Large,11.594202898550725
SR009-CR3-1300-1364,SR009,3,2D,Tiny,8.98876404494382
SR009-CR3-1300-1364,SR009,3,2D,Small,25.31645569620253
SR009-CR3-1300-1364,SR009,3,2D,Medium,25.842696629213485
SR009-CR3-1300-1364,SR009,3,2D,Large,11.39240506329114
SR009-CR3-2100-2164,SR009,3,3D,Tiny,16.216216216216218
SR009-CR3-2100-2164,SR009,3,3D,Small,29.72972972972973
SR009-CR3-2100-2164,SR009,3,3D,Medium,13.513513513513514
SR009-CR3-2100-2164,SR009,3,3D,Large,6.422018348623854
SR009-CR3-2100-2164,SR009,3,2D,Tiny,17.56756756756757
SR009-CR3-2100-2164,SR009,3,2D,Small,37.16216216216216
SR009-CR3-2100-2164,SR009,3,2D,Medium,15.54054054054054
SR009-CR3-2100-2164,SR009,3,2D,Large,8.59375
SR009-CR3-800-864,SR009,3,3D,Tiny,7.6923076923076925
SR009-CR3-800-864,SR009,3,3D,Small,14.772727272727273
SR009-CR3-800-864,SR009,3,3D,Medium,10.112359550561797
SR009-CR3-800-864,SR009,3,2D,Tiny,7.6923076923076925
SR009-CR3-800-864,SR009,3,2D,Small,44.554455445544555
SR009-CR3-800-864,SR009,3,2D,Medium,33.663366336633665
SR009-CR3-800-864,SR009,3,2D,Large,8.333333333333332
SR009-TL1-4050-4114,SR009,3,3D,Tiny,15.702479338842975
SR009-TL1-4050-4114,SR009,3,3D,Small,11.570247933884298
SR009-TL1-4050-4114,SR009,3,3D,Medium,14.754098360655737
