id,subject,fold,model,class,DSC,IoU,Sensitivity,Specificity,tp,fp,fn,tn
SR007-CR1-5470-5534,SR007,1,3D,fas,0.9468563715895546,0.8990762000988274,0.9407123904957633,0.99960544849236,2399905,118144,151252,299320580
SR007-CR1-5470-5534,SR007,1,2D,epi,0.9294857906059107,0.8682610491756102,0.9363887602671439,0.9987341932809928,4489441,376192,304979,296819260
SR007-CR1-5470-5534,SR007,1,2D,fas,0.9283060739092968,0.8662044743460916,0.9572539047969215,0.9991044578336429,2442105,268160,109052,299170560
SR007-CR2-3970-4034,SR007,1,3D,epi,0.9291716749245612,0.8677130153977782,0.9747868832738229,0.9993237620050857,1604430,203104,41499,300140860
SR007-CR2-3970-4034,SR007,1,3D,fas,0.9513775945114488,0.9072642254560674,0.9289025331474847,0.9999312437700459,806371,20704,61719,301101100
SR007-CR2-3970-4034,SR007,1,2D,epi,0.9212674170441542,0.8540276168536416,0.9516254953889263,0.9993737313837029,1566308,188096,79621,300155870
SR007-CR2-3970-4034,SR007,1,2D,fas,0.941350511152708,0.889199419703773,0.9503634415786382,0.9998017014989071,825001,59712,43089,301062080
SR007-CR2-520-584,SR007,1,3D,epi,0.9399967167178992,0.8867866086295282,0.9898853341919244,0.9995775825269756,1082206,127104,11058,300769540
SR007-CR2-520-584,SR007,1,3D,fas,0.9565993709548487,0.9168092718424589,0.9269685832667708,0.9999695046920472,768266,9184,60528,301151900
SR007-CR2-520-584,SR007,1,2D,epi,0.937394107375944,0.8821653577142252,0.9764640562572261,0.9996116141461517,1067533,116864,25731,300779780
SR007-CR2-520-584,SR007,1,2D,fas,0.9583463964661837,0.9200240782684258,0.9478736573865159,0.9999166957452352,785592,25088,43202,301136000
SR007-CR2-7675-7739,SR007,1,3D,epi,0.8564393597733947,0.7489234323452096,0.7973896787895698,0.9995257526523491,1751842,142176,445129,299650750
SR007-CR2-7675-7739,SR007,1,3D,fas,0.954811703123133,0.9135308020346298,0.9321909046106095,0.9999482649201527,711202,15584,51734,301211360
SR007-CR2-7675-7739,SR007,1,2D,epi,0.8692057185162041,0.7686683004583797,0.8053465430358434,0.9996503186406009,1769323,104832,427648,299688100
